Age Group,Male,Female,Total,%
Total,72 109 796,71 933 901,144 043 697,100
0-4,7 638 523,7 423 447,15 061 970,10.46
5 to 9,9 322 514,8 850 715,18 173 229,12.62
10 to 14,8 614 889,8 031 726,16 646 615,11.56
15-19,6 509 492,6 352 398,12 861 890,8.93
20-24,5 777 370,7 522 419,13 299 789,9.23
25-29,6 225 252,7 254 256,13 479 508,9.36
30-34,5 079 106,5 420 659,10 499 765,7.29
35-39,4 697 349,4 859 079,9 556 428,6.63
40-44,4 280 923,3 980 739,8 261 662,5.74
45-49,3 363 273,3 016 800,6 380 073,4.43
50-54,2 952 596,2 599 675,5 552 271,3.85
55-59,1 923 534,1 577 463,3 500 997,2.43
60-64,2 081 306,1 852 708,3 934 014,2.73
65-69,1 149 569,963 921,2 113 490,1.47
70-74,1 206 398,1 025 314,2 231 712,1.55
75-79,488 338,386 389,874 727,0.61
80-84,443 239,436 840,880 079,0.61
85-89,138 268,124 343,262 611,0.18
90-94,116 916,133 273,250 189,0.17
95+,100 941,121 737,222 678,0.15