Date,Open,High,Low,Close
1-Jan-20,41349.36,41443.52,41251.18,41306.02
2-Jan-20,41340.27,41649.29,41328.45,41626.64
3-Jan-20,41634.51,41636.18,41348.68,41464.61
6-Jan-20,41378.34,41378.34,40613.96,40676.63
7-Jan-20,40983.04,41230.14,40727.37,40869.47
8-Jan-20,40574.83,40866.36,40476.55,40817.74
9-Jan-20,41216.67,41482.12,41175.72,41452.35
10-Jan-20,41568.2,41775.11,41447.8,41599.72
13-Jan-20,41788.21,41899.63,41720.76,41859.69
14-Jan-20,41883.09,41994.26,41770.9,41952.63
15-Jan-20,41969.86,41969.86,41648.11,41872.73
16-Jan-20,41924.74,42059.45,41812.28,41932.56
17-Jan-20,41929.02,42063.93,41850.29,41945.37
20-Jan-20,42263,42273.87,41503.37,41528.91
21-Jan-20,41487.57,41532.59,41294.3,41323.81
22-Jan-20,41467.13,41532.29,41059.04,41115.38
23-Jan-20,41191.5,41413.96,41098.91,41386.4
24-Jan-20,41377.04,41697.03,41275.6,41613.19
27-Jan-20,41510.68,41516.27,41122.48,41155.12
28-Jan-20,41299.68,41333.25,40869.75,40966.86
29-Jan-20,41131.57,41334.86,41108.19,41198.66
30-Jan-20,41380.14,41380.14,40829.91,40913.82
31-Jan-20,41146.56,41154.49,40671.01,40723.49
1-Feb-20,40753.18,40905.78,39631.24,39735.53
3-Feb-20,39701.02,40014.9,39563.07,39872.31
4-Feb-20,40178.74,40818.94,40117.46,40789.38
5-Feb-20,40921.71,41177,40703.32,41142.66
6-Feb-20,41209.13,41405.43,41113.11,41306.03
7-Feb-20,41394.41,41394.41,41073.36,41141.85
10-Feb-20,41166.72,41172.06,40798.98,40979.62
11-Feb-20,41183.39,41444.34,41179.14,41216.14
12-Feb-20,41330.85,41671.86,41330.85,41565.9
13-Feb-20,41707.21,41709.3,41338.31,41459.79
14-Feb-20,41510.19,41702.36,41183.13,41257.74
17-Feb-20,41324.04,41420.34,41030.58,41055.69
18-Feb-20,41042.46,41042.46,40610.95,40894.38
19-Feb-20,41121.51,41357.16,41048.93,41323
20-Feb-20,41334.96,41399.93,41134.31,41170.12
24-Feb-20,41037.01,41037.01,40306.36,40363.23
25-Feb-20,40497.72,40536,40220.59,40281.2
26-Feb-20,40194.89,40255.39,39760.39,39888.96
27-Feb-20,39947.8,39947.8,39423.27,39745.66
28-Feb-20,39087.47,39087.47,38219.97,38297.29
2-Mar-20,38910.95,39083.17,37785.99,38144.02
3-Mar-20,38480.89,38754.24,38142.3,38623.7
4-Mar-20,38715.72,38791.7,37846.1,38409.48
5-Mar-20,38604.25,38887.8,38386.68,38470.61
6-Mar-20,37613.96,37747.07,37011.09,37576.62
9-Mar-20,36950.2,36950.2,35109.18,35634.95
11-Mar-20,35468.9,36021.51,35261.92,35697.4
12-Mar-20,34472.5,34472.5,32493.1,32778.14
13-Mar-20,31214.13,34769.48,29388.97,34103.48
16-Mar-20,33103.24,33103.24,31276.3,31390.07
17-Mar-20,31611.57,32047.98,30394.94,30579.09
18-Mar-20,30968.84,31101.77,28613.05,28869.51
19-Mar-20,27773.36,29370.53,26714.46,28288.23
20-Mar-20,28460.82,30418.2,27932.67,29915.96
23-Mar-20,27608.8,27900.83,25880.83,25981.24
24-Mar-20,27056.23,27462.87,25638.9,26674.03
25-Mar-20,26499.81,28790.19,26359.91,28535.78
26-Mar-20,29073.71,30099.91,28566.34,29946.77
27-Mar-20,30747.81,31126.03,29346.99,29815.59
30-Mar-20,29226.55,29497.57,28290.99,28440.32
31-Mar-20,29294.94,29770.88,28667.36,29468.49
1-Apr-20,29505.33,29505.98,28073.43,28265.31
3-Apr-20,28623.53,28639.12,27500.79,27590.95
7-Apr-20,28898.36,30157.65,28602.31,30067.21
8-Apr-20,29701.92,31227.97,29602.94,29893.96
9-Apr-20,30571.19,31225.2,30420.22,31159.62
13-Apr-20,31195.72,31195.72,30474.15,30690.02
15-Apr-20,31277.11,31568.36,30222.07,30379.81
16-Apr-20,30095.51,30800.2,30016.17,30602.61
17-Apr-20,31656.68,31718.73,30960.94,31588.72
20-Apr-20,32056.19,32056.47,31490.26,31648
21-Apr-20,30836.19,30900.12,30378.26,30636.71
22-Apr-20,30856.14,31471.14,30578.55,31379.55
23-Apr-20,31646.45,31959.02,31292.92,31863.08
24-Apr-20,31426.62,31842.24,31278.27,31327.22
27-Apr-20,31659.04,32103.7,31651.58,31743.08
28-Apr-20,32101.91,32199.91,31661.34,32114.52
29-Apr-20,32311.04,32897.59,32171.65,32720.16
30-Apr-20,33381.19,33887.25,33354.93,33717.62
4-May-20,32748.14,32748.14,31632.02,31715.35
5-May-20,32182.9,32264,31403.57,31453.51
6-May-20,31577.63,31970.84,31158.75,31685.75
7-May-20,31677.69,31705.25,31362.87,31443.38
8-May-20,32083.32,32088.51,31598,31642.7
11-May-20,32030.34,32301.58,31500.87,31561.22
12-May-20,31342.93,31536.89,30844.66,31371.12
13-May-20,32841.87,32845.48,31901.92,32008.61
14-May-20,31466.33,31630.94,31052.65,31122.89
15-May-20,31296.28,31296.28,30770.48,31097.73
18-May-20,31248.26,31248.26,29968.45,30028.98
19-May-20,30450.74,30739.96,30116.82,30196.17
20-May-20,30159.59,30878.31,30157.75,30818.61
21-May-20,30904.29,31188.79,30765.32,30932.9
22-May-20,30822.78,31107.91,30474.88,30672.59
26-May-20,30864.27,31086.7,30512.14,30609.3
27-May-20,30793.11,31660.6,30525.68,31605.22
28-May-20,31827.8,32267.23,31641.77,32200.59
29-May-20,32041.29,32480.52,31823.8,32424.1
1-Jun-20,32906.05,33673.83,32876.55,33303.52
2-Jun-20,33450.19,33866.63,33301.29,33825.53
3-Jun-20,34185.41,34488.69,34027.5,34109.54
4-Jun-20,34072.5,34310.14,33711.24,33980.7
5-Jun-20,34198.55,34405.43,33958.02,34287.24
8-Jun-20,34841.17,34927.8,34211.83,34370.58
9-Jun-20,34520.79,34811.29,33881.19,33956.69
10-Jun-20,34029.14,34350.17,33949.46,34247.05
11-Jun-20,34214.69,34219.39,33480.42,33538.37
12-Jun-20,32436.69,33856.27,32348.1,33780.89
15-Jun-20,33670.55,33670.55,32923.74,33228.8
16-Jun-20,33853.72,34022.01,32953.3,33605.22
17-Jun-20,33438.31,33933.66,33332.96,33507.92
18-Jun-20,33371.52,34276.01,33371.52,34208.05
19-Jun-20,34335.38,34848.37,34136.39,34731.73
22-Jun-20,34892.03,35213.52,34794.4,34911.32
23-Jun-20,35015.73,35482.16,34843.69,35430.43
24-Jun-20,35679.74,35706.55,34794.93,34868.98
25-Jun-20,34525.39,35081.61,34499.78,34842.1
26-Jun-20,35144.78,35254.88,34910.34,35171.27
29-Jun-20,34926.95,35032.36,34662.06,34961.52
30-Jun-20,35168.3,35233.91,34812.8,34915.8
1-Jul-20,35009.59,35467.23,34927.2,35414.45
2-Jul-20,35604,36014.92,35595.36,35843.7
3-Jul-20,36025.38,36110.21,35872.38,36021.42
6-Jul-20,36313.46,36661.66,36254.02,36487.28
7-Jul-20,36660.35,36723.27,36271.09,36674.52
8-Jul-20,36738.38,36828.43,36234.17,36329.01
9-Jul-20,36450.69,36806.3,36422.3,36737.69
10-Jul-20,36555.13,36748.89,36401.11,36594.33
13-Jul-20,36880.66,37024.2,36533.96,36693.69
14-Jul-20,36517.28,36538.1,35877.42,36033.06
15-Jul-20,36314.76,36810.25,35894.96,36051.81
16-Jul-20,36401.2,36524.62,36038.41,36471.68
17-Jul-20,36547.75,37125.98,36512.92,37020.14
20-Jul-20,37409.03,37478.87,37185.78,37418.99
21-Jul-20,37823.61,37990.55,37742.05,37930.33
22-Jul-20,38178.07,38199.27,37601.62,37871.52
23-Jul-20,37814.92,38225.03,37738.59,38140.47
24-Jul-20,37949.59,38235.73,37748.41,38128.9
27-Jul-20,38275.34,38275.34,37769.44,37934.73
28-Jul-20,38052.18,38554.72,37998.13,38492.95
29-Jul-20,38427.15,38617.03,37884.41,38071.13
30-Jul-20,38262.83,38413.81,37678.42,37736.07
